#bin	frequency	peak0	peak1	peak2	peak3	peak4	peak5
0.00000	3.78007285589e-21	3.78007275219e-21	1.03704422612e-28	3.21927207192e-78	2.96888186854e-151	6.88895140581e-252	0.0
0.00050	4.17380055047e-21	4.17380043961e-21	1.1085525933e-28	3.58550275606e-78	3.44550733451e-151	8.34402573616e-252	0.0
0.00100	4.60811471011e-21	4.60811459162e-21	1.18495432823e-28	3.99327044893e-78	3.998524165e-151	1.01061196003e-251	0.0
0.00150	5.08715463082e-21	5.08715450417e-21	1.26658169134e-28	4.44727180216e-78	4.64015572897e-151	1.22399464318e-251	0.0
0.00200	5.61547714429e-21	5.61547700891e-21	1.3537893248e-28	4.95273289073e-78	5.38457799906e-151	1.48238456936e-251	0.0
0.00250	6.19809826026e-21	6.19809811557e-21	1.446955748e-28	5.51546870635e-78	6.24823094588e-151	1.79526489656e-251	0.0
0.00300	6.84053891364e-21	6.84053875899e-21	1.54648495208e-28	6.14194931531e-78	7.25017950904e-151	2.17411482498e-251	0.0
0.00350	7.54887521619e-21	7.54887505091e-21	1.65280810009e-28	6.83937342524e-78	8.41253202453e-151	2.63282928978e-251	0.0
0.00400	8.32979365099e-21	8.32979347435e-21	1.76638533969e-28	7.61575018763e-78	9.76092523863e-151	3.18822680678e-251	0.0
0.00450	9.19065168995e-21	9.19065150118e-21	1.88770773576e-28	8.47999015541e-78	1.13250864865e-150	3.86066396749e-251	0.0
0.00500	1.01395443608e-20	1.0139544159e-20	2.01729933077e-28	9.4420064168e-78	1.31394852914e-150	4.67477895645e-251	0.0
0.00550	1.11853773402e-20	1.11853771246e-20	2.15571934141e-28	1.05128270403e-77	1.5244088585e-150	5.66039115274e-251	0.0
0.00600	1.23379472057e-20	1.23379469753e-20	2.30356450019e-28	1.17047200923e-77	1.76852359965e-150	6.85358954714e-251	0.0
0.00650	1.36080295378e-20	1.36080292916e-20	2.46147155168e-28	1.30313326278e-77	2.05166542713e-150	8.29804956347e-251	0.0
0.00700	1.50074756324e-20	1.50074753694e-20	2.6301199135e-28	1.4507845212e-77	2.38006328939e-150	1.00466261641e-250	0.0
0.00750	1.65493186533e-20	1.65493183723e-20	2.81023451273e-28	1.61511437019e-77	2.76093864899e-150	1.21632811461e-250	0.0
0.00800	1.82478901356e-20	1.82478898353e-20	3.00258880927e-28	1.79800102106e-77	3.20266336326e-150	1.47254146583e-250	0.0
0.00850	2.0118947837e-20	2.01189475162e-20	3.20800801843e-28	2.00153353885e-77	3.71494263685e-150	1.78266856292e-250	0.0
0.00900	2.21798160288e-20	2.21798156861e-20	3.42737254566e-28	2.22803543939e-77	4.30902702103e-150	2.15804235191e-250	0.0
0.00950	2.44495394214e-20	2.44495390552e-20	3.66162164732e-28	2.48009091892e-77	4.99795806346e-150	2.61237552438e-250	0.0
0.01000	2.69490520332e-20	2.69490516421e-20	3.91175733218e-28	2.76057400884e-77	5.79685294087e-150	3.16225970229e-250	0.0
