#bin	frequency
0.01250	0
0.03750	0
0.06250	0
0.08750	0
0.11250	0
0.13750	0
0.16250	0
0.18750	0
0.21250	0
0.23750	0
0.26250	0
0.28750	0
0.31250	0
0.33750	0
0.36250	0
0.38750	4
0.41250	25
0.43750	85
0.46250	223
0.48750	402
0.51250	580
0.53750	589
0.56250	505
0.58750	346
0.61250	229
0.63750	109
0.66250	51
0.68750	30
0.71250	8
0.73750	2
0.76250	2
0.78750	3
0.81250	9
0.83750	13
0.86250	40
0.88750	44
0.91250	124
0.93750	162
0.96250	245
0.98750	305
1.01250	396
1.03750	403
1.06250	408
1.08750	412
1.11250	328
1.13750	268
1.16250	208
1.18750	125
1.21250	62
1.23750	50
1.26250	25
1.28750	20
1.31250	6
1.33750	6
1.36250	2
1.38750	4
1.41250	2
1.43750	2
1.46250	3
1.48750	13
1.51250	16
1.53750	38
1.56250	65
1.58750	109
1.61250	148
1.63750	164
1.66250	192
1.68750	224
1.71250	221
1.73750	227
1.76250	185
1.78750	145
1.81250	95
1.83750	68
1.86250	48
1.88750	50
1.91250	22
1.93750	17
1.96250	4
1.98750	2
2.01250	4
2.03750	2
2.06250	1
2.08750	1
2.11250	4
2.13750	12
2.16250	15
2.18750	18
2.21250	34
2.23750	32
2.26250	49
2.28750	60
2.31250	71
2.33750	77
2.36250	72
2.38750	75
2.41250	71
2.43750	67
2.46250	42
2.48750	28
2.51250	28
2.53750	13
2.56250	11
2.58750	6
2.61250	2
2.63750	3
2.66250	6
2.68750	1
2.71250	0
2.73750	1
2.76250	2
2.78750	0
2.81250	1
2.83750	8
2.86250	3
2.88750	8
2.91250	13
2.93750	14
2.96250	17
2.98750	14
3.01250	14
3.03750	23
3.06250	19
3.08750	23
3.11250	11
3.13750	13
3.16250	9
3.18750	4
3.21250	9
3.23750	4
3.26250	1
3.28750	1
3.31250	1
3.33750	1
3.36250	0
3.38750	0
3.41250	0
3.43750	1
3.46250	2
3.48750	1
3.51250	0
3.53750	2
3.56250	3
3.58750	6
3.61250	4
3.63750	3
3.66250	5
3.68750	9
3.71250	5
3.73750	4
3.76250	2
3.78750	2
3.81250	3
3.83750	0
3.86250	1
3.88750	0
3.91250	0
3.93750	0
3.96250	0
3.98750	0
4.01250	0
4.03750	0
4.06250	0
4.08750	0
4.11250	0
4.13750	0
4.16250	2
4.18750	1
4.21250	0
4.23750	0
4.26250	0
4.28750	1
4.31250	0
4.33750	0
4.36250	0
4.38750	0
4.41250	0
4.43750	2
4.46250	0
4.48750	0
4.51250	0
4.53750	0
4.56250	0
4.58750	2
4.61250	0
4.63750	0
4.66250	0
4.68750	0
4.71250	0
4.73750	0
4.76250	0
4.78750	0
4.81250	0
4.83750	0
4.86250	0
4.88750	0
4.91250	0
4.93750	0
4.96250	1
4.98750	0
