# arrival_time_separation(ns)	counts
1.250000000000000000e+02 4.500000000000000000e+01
3.750000000000000000e+02 5.000000000000000000e+01
6.250000000000000000e+02 4.600000000000000000e+01
8.750000000000000000e+02 4.100000000000000000e+01
1.125000000000000000e+03 5.000000000000000000e+01
1.375000000000000000e+03 4.800000000000000000e+01
1.625000000000000000e+03 4.100000000000000000e+01
1.875000000000000000e+03 4.300000000000000000e+01
2.125000000000000000e+03 4.400000000000000000e+01
2.375000000000000000e+03 3.100000000000000000e+01
2.625000000000000000e+03 4.100000000000000000e+01
2.875000000000000000e+03 3.500000000000000000e+01
3.125000000000000000e+03 3.000000000000000000e+01
3.375000000000000000e+03 3.500000000000000000e+01
3.625000000000000000e+03 1.800000000000000000e+01
3.875000000000000000e+03 3.500000000000000000e+01
4.125000000000000000e+03 2.500000000000000000e+01
4.375000000000000000e+03 2.100000000000000000e+01
4.625000000000000000e+03 2.300000000000000000e+01
4.875000000000000000e+03 2.500000000000000000e+01
5.125000000000000000e+03 1.700000000000000000e+01
5.375000000000000000e+03 1.600000000000000000e+01
5.625000000000000000e+03 2.300000000000000000e+01
5.875000000000000000e+03 1.900000000000000000e+01
6.125000000000000000e+03 2.000000000000000000e+01
6.375000000000000000e+03 1.300000000000000000e+01
6.625000000000000000e+03 1.600000000000000000e+01
6.875000000000000000e+03 1.400000000000000000e+01
7.125000000000000000e+03 1.400000000000000000e+01
7.375000000000000000e+03 2.000000000000000000e+01
7.625000000000000000e+03 1.100000000000000000e+01
7.875000000000000000e+03 9.000000000000000000e+00
8.125000000000000000e+03 1.400000000000000000e+01
8.375000000000000000e+03 6.000000000000000000e+00
8.625000000000000000e+03 4.000000000000000000e+00
8.875000000000000000e+03 7.000000000000000000e+00
9.125000000000000000e+03 1.000000000000000000e+00
9.375000000000000000e+03 1.000000000000000000e+00
9.625000000000000000e+03 0.000000000000000000e+00
9.875000000000000000e+03 0.000000000000000000e+00
