# arrival_time_separation(ns)	counts(model)
1.600000000000000000e+01 6.083051520000001489e+00
4.800000000000000711e+01 6.063554560000000926e+00
8.000000000000000000e+01 6.044057600000000363e+00
1.120000000000000142e+02 6.024560640000000689e+00
1.440000000000000284e+02 6.005063679999999238e+00
1.760000000000000284e+02 5.985566720000000451e+00
2.080000000000000284e+02 5.966069759999999889e+00
2.400000000000000284e+02 5.946572800000001102e+00
2.720000000000000000e+02 5.927075840000000539e+00
3.040000000000000000e+02 5.907578879999999977e+00
3.360000000000000000e+02 5.888081920000000302e+00
3.680000000000000000e+02 5.868584959999999739e+00
4.000000000000000568e+02 5.849088000000000953e+00
4.320000000000000000e+02 5.829591039999999502e+00
4.640000000000000000e+02 5.810094080000001604e+00
4.960000000000001137e+02 5.790597120000000153e+00
5.280000000000001137e+02 5.771100159999999590e+00
5.600000000000000000e+02 5.751603199999999916e+00
5.920000000000001137e+02 5.732106239999999353e+00
6.240000000000001137e+02 5.712609280000000567e+00
6.560000000000000000e+02 5.693112320000000004e+00
6.880000000000001137e+02 5.673615359999999441e+00
7.200000000000001137e+02 5.654118400000000655e+00
7.520000000000001137e+02 5.634621440000000092e+00
7.840000000000000000e+02 5.615124479999999529e+00
