# one_x_offset	two_x_offset	two_amplitude	one_amplitude
-4.342062815787298283e-06 1.649937014747368388e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.706064623190455100e-06 -6.620646527167915477e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.536065120769917551e-06 2.295934686007926690e-06 1.000000000000000000e+00 1.000000000000000000e+00
-9.729135973366027602e-07 -3.378105937562455216e-09 8.785995819694737419e-01 9.715714654197649125e-01
-3.066058808553743380e-06 2.363941037875368774e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.820809320651333277e-06 -2.493829893875176537e-06 9.244428162898672419e-01 1.159467318589756601e+00
-4.610068006763697088e-06 -2.026068079844207990e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.107773477493517342e-06 -2.959794473584604970e-06 1.020668491869516359e+00 8.351820193723126229e-01
2.105500546454008465e-06 2.580714570811773758e-06 1.023734449066569852e+00 5.479894237012093994e-01
-3.256061691266818867e-06 -1.454061742230859364e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.659359014830976935e-07 2.577935833267079004e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.976060515669170380e-06 2.749939294106558597e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.731812450945462633e-06 -3.647998177607160953e-06 1.072292717954419938e+00 8.437173447846161300e-01
-3.022065163588761787e-06 1.599934705692150989e-06 1.000000000000000000e+00 1.000000000000000000e+00
2.361325304334395949e-06 1.868229788233529756e-06 9.879272818562068181e-01 6.592799252618883887e-01
2.332756186490424474e-06 2.688351084748792766e-06 1.083800830995406583e+00 5.561150220416706258e-01
-3.298057069140348954e-06 5.039428233317476218e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.006351535631524664e-08 1.135936451666952667e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.686058819300876489e-06 1.063941074641880523e-06 1.000000000000000000e+00 1.000000000000000000e+00
-5.560600347760483389e-07 2.435939880604412722e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.122060511540009233e-06 -2.006060571384576210e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.960061122020942087e-06 -1.168061172702163269e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.438055909946221563e-06 1.169943959730638253e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.108058201466641455e-06 2.603941608705034563e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.220061142949571370e-06 3.893938684134699663e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.242065791547928285e-06 2.173934111840993836e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.330061111556627445e-06 1.957938738888518976e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.154260452049619414e-06 -1.762405261282407116e-06 1.226957461140467442e+00 8.149245539996408105e-01
-3.528061683574133509e-06 -9.300617570505914506e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.524063444821178177e-06 3.093936396290930862e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.232062818898310744e-06 -2.772062860189930681e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.684058791075509735e-06 -2.512058824221933411e-06 1.000000000000000000e+00 1.000000000000000000e+00
9.940526833706945749e-09 2.775940448605884518e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.856064618948165380e-06 2.493935258025432754e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.804064620418825817e-06 2.591935255253803470e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.270062902669391739e-06 1.729937012484813871e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.619439800305281544e-06 4.361076380548973835e-06 7.834853737249476424e-01 1.465410050153779675e+00
-2.938059389791158253e-06 2.003940470439536455e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.212059959659237525e-06 -7.660600288368418846e-07 1.000000000000000000e+00 1.000000000000000000e+00
