# one_x_offset	two_x_offset	two_amplitude	one_amplitude
-4.342062815787298283e-06 1.649937014747368388e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.706064623190455100e-06 -6.620646527167915477e-07 1.000000000000000000e+00 1.000000000000000000e+00
-4.536065120769917551e-06 2.295934686007926690e-06 1.000000000000000000e+00 1.000000000000000000e+00
-9.709104250207071066e-07 -1.035169073250329917e-08 8.930305093647387116e-01 9.836977145075521678e-01
-3.066058808553743380e-06 2.363941037875368774e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.818846615255871099e-06 -2.496979954213199782e-06 9.288449213067244692e-01 1.147283053103678396e+00
-4.610068006763697088e-06 -2.026068079844207990e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.102168797351456755e-06 -2.951659609152376528e-06 9.270100058448444980e-01 9.276470442695372576e-01
2.574749073746950627e-06 2.111551230313820777e-06 5.553457514051864941e-01 1.015761403715289335e+00
-3.256061691266818867e-06 -1.454061742230859364e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.659359014830976935e-07 2.577935833267079004e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.976060515669170380e-06 2.749939294106558597e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.646079877951269536e-06 -4.730536409504270163e-06 8.440257170070201154e-01 1.049830104797422337e+00
-3.022065163588761787e-06 1.599934705692150989e-06 1.000000000000000000e+00 1.000000000000000000e+00
1.866700647864541513e-06 2.355415451676606286e-06 6.860603889007436118e-01 9.581554901068235486e-01
2.328824402881616718e-06 2.688928903825543002e-06 1.093718921611035677e+00 5.572849968072243199e-01
-3.298057069140348954e-06 5.039428233317476218e-07 1.000000000000000000e+00 1.000000000000000000e+00
-3.006351535631524664e-08 1.135936451666952667e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.686058819300876489e-06 1.063941074641880523e-06 1.000000000000000000e+00 1.000000000000000000e+00
-5.560600347760483389e-07 2.435939880604412722e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.122060511540009233e-06 -2.006060571384576210e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.960061122020942087e-06 -1.168061172702163269e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.438055909946221563e-06 1.169943959730638253e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.108058201466641455e-06 2.603941608705034563e-06 1.000000000000000000e+00 1.000000000000000000e+00
-2.220061142949571370e-06 3.893938684134699663e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.242065791547928285e-06 2.173934111840993836e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.330061111556627445e-06 1.957938738888518976e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.764963904515993595e-06 -1.154525093887136136e-06 8.067808769320478079e-01 1.226564787981291982e+00
-3.528061683574133509e-06 -9.300617570505914506e-07 1.000000000000000000e+00 1.000000000000000000e+00
-2.524063444821178177e-06 3.093936396290930862e-06 1.000000000000000000e+00 1.000000000000000000e+00
-4.232062818898310744e-06 -2.772062860189930681e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.684058791075509735e-06 -2.512058824221933411e-06 1.000000000000000000e+00 1.000000000000000000e+00
9.940526833706945749e-09 2.775940448605884518e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.856064618948165380e-06 2.493935258025432754e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.804064620418825817e-06 2.591935255253803470e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.270062902669391739e-06 1.729937012484813871e-06 1.000000000000000000e+00 1.000000000000000000e+00
-1.616102689966878778e-06 4.360823856537350886e-06 7.918679514154383092e-01 1.463566195993275754e+00
-2.938059389791158253e-06 2.003940470439536455e-06 1.000000000000000000e+00 1.000000000000000000e+00
-3.212059959659237525e-06 -7.660600288368418846e-07 1.000000000000000000e+00 1.000000000000000000e+00
