# arrival_time_separation(ns)	counts(model)
1.250000000000000142e+02 4.700499999999999545e+01
3.750000000000000568e+02 4.581499999999999773e+01
6.250000000000001137e+02 4.462500000000000000e+01
8.750000000000001137e+02 4.343500000000000227e+01
1.125000000000000227e+03 4.224499999999999744e+01
1.375000000000000455e+03 4.105499999999999261e+01
1.625000000000000227e+03 3.986499999999999488e+01
1.875000000000000227e+03 3.867500000000000426e+01
2.125000000000000455e+03 3.748499999999999233e+01
2.375000000000000455e+03 3.629500000000000171e+01
2.625000000000000909e+03 3.510499999999998977e+01
2.875000000000000455e+03 3.391499999999999915e+01
3.125000000000000455e+03 3.272499999999999432e+01
3.375000000000000909e+03 3.153499999999999659e+01
3.625000000000000455e+03 3.034499999999999886e+01
3.875000000000000000e+03 2.915500000000000114e+01
4.125000000000000000e+03 2.796499999999999986e+01
4.375000000000000909e+03 2.677499999999999858e+01
4.625000000000000909e+03 2.558499999999999730e+01
4.875000000000000909e+03 2.439499999999999602e+01
5.125000000000000909e+03 2.320499999999999829e+01
5.375000000000000000e+03 2.201500000000000057e+01
5.625000000000000000e+03 2.082499999999999929e+01
5.875000000000000909e+03 1.963499999999999801e+01
6.125000000000000909e+03 1.844499999999999673e+01
6.375000000000000909e+03 1.725499999999999901e+01
6.625000000000000909e+03 1.606499999999999773e+01
6.875000000000000909e+03 1.487499999999999645e+01
7.125000000000000000e+03 1.368500000000000050e+01
7.375000000000000909e+03 1.249499999999999922e+01
7.625000000000000909e+03 1.130499999999999794e+01
7.875000000000001819e+03 1.011499999999999488e+01
8.125000000000000909e+03 8.924999999999997158e+00
8.375000000000000000e+03 7.735000000000002096e+00
8.625000000000001819e+03 6.544999999999996376e+00
8.875000000000000000e+03 5.355000000000000426e+00
9.125000000000001819e+03 4.164999999999995595e+00
9.375000000000000000e+03 2.974999999999999201e+00
9.625000000000001819e+03 1.784999999999994813e+00
9.875000000000001819e+03 5.949999999999983080e-01
